id,Date_received,Product,Sub_product,Issue,Sub_issue,Consumer_complaint_narrative,Company_public_response,Company,State,ZIP_code,Tags,Consumer_consent_provided,Submitted_via,Date_sent_to_company,Company_response_to_consumer,Timely_response,Consumer_disputed,Complaint_ID
15360,2011-12-06,Credit card,,Credit card protection / Debt protection,,,,"CITIBANK, N.A.",CA,92308,,,Referral,12/6/2011,Closed with relief,Yes,No,3171
16276,2011-12-30,Credit card,,Closing/Cancelling account,,,,U.S. BANCORP,CA,95843,,,Web,1/3/2012,Closed with relief,Yes,No,8904
16391,2011-12-08,Mortgage,FHA mortgage,Loan servicing  payments  escrow account,,,,JPMORGAN CHASE & CO.,MT,59102,,,Web,12/12/2011,Closed without relief,Yes,No,3288
16469,2011-12-13,Mortgage,Conventional fixed mortgage,Loan servicing  payments  escrow account,,,,M&T BANK CORPORATION,CT,6704,,,Web,12/16/2011,Closed with relief,Yes,No,5447
16879,2011-12-02,Credit card,,APR or interest rate,,,,"CITIBANK, N.A.",WI,54669,,,Referral,12/2/2011,Closed with relief,Yes,No,2605
16944,2011-12-12,Credit card,,Payoff process,,,,CAPITAL ONE FINANCIAL CORPORATION,NJ,7676,,,Web,12/13/2011,Closed without relief,Yes,Yes,4737
17316,2011-12-07,Credit card,,Other,,,,CAPITAL ONE FINANCIAL CORPORATION,OH,44105,,,Referral,12/9/2011,Closed without relief,Yes,No,3512
17546,2011-12-29,Credit card,,Billing disputes,,,,CAPITAL ONE FINANCIAL CORPORATION,FL,33496,,,Referral,12/29/2011,Closed without relief,Yes,No,69687
17637,2011-12-15,Credit card,,Unsolicited issuance of credit card,,,,"CITIBANK, N.A.",FL,34787,Older American,,Web,12/21/2011,Closed with relief,Yes,No,5894
17766,2011-12-13,Mortgage,Home equity loan or line of credit,Loan servicing  payments  escrow account,,,,"CITIBANK, N.A.",NY,12206,,,Web,12/15/2011,Closed without relief,Yes,No,5183
17951,2011-12-16,Credit card,,Credit reporting,,,,HSBC NORTH AMERICA HOLDINGS INC.,MI,48336,,,Web,12/21/2011,Closed without relief,Yes,No,72447
18115,2011-12-31,Credit card,,Customer service / Customer relations,,,,CAPITAL ONE FINANCIAL CORPORATION,NY,14467,,,Web,1/3/2012,Closed without relief,Yes,No,8968
18679,2011-12-30,Mortgage,Conventional fixed mortgage,Application  originator  mortgage broker,,,,WELLS FARGO & COMPANY,CO,80498,Older American,,Web,1/4/2012,Closed without relief,Yes,Yes,8922
18809,2011-12-12,Mortgage,FHA mortgage,Settlement process and costs,,,,"FLAGSTAR BANK, FSB",MI,48044,,,Web,12/23/2011,Closed with relief,Yes,Yes,4762
19933,2011-12-08,Mortgage,Conventional adjustable mortgage (ARM),Loan servicing  payments  escrow account,,,,"CITIBANK, N.A.",VA,22302,,,Web,12/12/2011,Closed without relief,Yes,No,4068
20019,2011-12-19,Credit card,,APR or interest rate,,,,"CITIBANK, N.A.",MA,2451,,,Web,12/21/2011,Closed without relief,Yes,No,6698
21122,2011-12-07,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,JPMORGAN CHASE & CO.,GA,30349,,,Postal mail,12/21/2011,Closed without relief,Yes,No,3549
21771,2011-12-09,Credit card,,Application processing delay,,,,AMERICAN EXPRESS COMPANY,CA,92058,,,Web,12/12/2011,Closed without relief,Yes,Yes,4311
22278,2011-12-01,Credit card,,Other fee,,,,"CITIBANK, N.A.",CA,92037,,,Referral,12/1/2011,Closed with relief,Yes,No,2196
22331,2011-12-21,Credit card,,Billing disputes,,,,"CITIBANK, N.A.",PA,18954,,,Web,2/28/2012,Closed with relief,Yes,No,7313
22759,2011-12-22,Credit card,,Identity theft / Fraud / Embezzlement,,,,"SUNTRUST BANKS, INC.",CT,6016,,,Referral,12/22/2011,Closed without relief,Yes,No,7606
23191,2011-12-27,Mortgage,Home equity loan or line of credit,Loan servicing  payments  escrow account,,,,HSBC NORTH AMERICA HOLDINGS INC.,NY,11050,,,Web,12/27/2011,Closed without relief,Yes,No,8098
23583,2011-12-20,Mortgage,Conventional adjustable mortgage (ARM),Loan modification collection foreclosure,,,,M&T BANK CORPORATION,FL,33138,,,Referral,12/20/2011,Closed with relief,No,No,6864
23870,2011-12-05,Credit card,,Credit determination,,,,JPMORGAN CHASE & CO.,TX,78041,,,Fax,12/9/2011,Closed without relief,Yes,Yes,2939
24135,2011-12-22,Mortgage,Home equity loan or line of credit,Loan modification collection foreclosure,,,,HSBC NORTH AMERICA HOLDINGS INC.,CA,91311,,,Web,12/22/2011,Closed without relief,Yes,No,7507
24682,2011-12-20,Mortgage,Other mortgage,Loan servicing  payments  escrow account,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",GA,30238,,,Postal mail,1/17/2012,Closed without relief,Yes,Yes,7098
25038,2011-12-05,Credit card,,Closing/Cancelling account,,,,JPMORGAN CHASE & CO.,VA,22195,,,Referral,12/5/2011,Closed without relief,Yes,Yes,2872
